feature_base,shap_importance,domain,group_rel
OSQ230,0.00647699639311865,clinical-health,0.0022887007184380446
MCQ366C,0.0061598462246017895,clinical-health,0.0021766330601468552
RXDDRGID,0.005706274064888939,clinical-health,0.002016359552985234
BPQ080,0.005680216191608107,clinical-health,0.002007151786039097
OHQ850,0.0056687896613416364,clinical-health,0.0020031141262284616
MCQ160P,0.0047269055356542545,clinical-health,0.0016702915114997626
RXDUSE,0.0035759694364264566,clinical-health,0.001263598637627309
HUQ030,0.0027172311162528234,clinical-health,0.0009601562870310098
ACD011A,0.0,clinical-health,0.0
BPQ060,0.0,clinical-health,0.0
BPQ090D,0.0,clinical-health,0.0
HEQ010,0.0,clinical-health,0.0
HEQ030,0.0,clinical-health,0.0
HUQ071,0.0,clinical-health,0.0
MCQ010,0.0,clinical-health,0.0
MCQ053,0.0,clinical-health,0.0
MCQ160B,0.0,clinical-health,0.0
MCQ160C,0.0,clinical-health,0.0
MCQ160D,0.0,clinical-health,0.0
MCQ160E,0.0,clinical-health,0.0
MCQ160F,0.0,clinical-health,0.0
MCQ160M,0.0,clinical-health,0.0
MCQ220,0.0,clinical-health,0.0
MCQ300A,0.0,clinical-health,0.0
MCQ550,0.0,clinical-health,0.0
OHQ835,0.0,clinical-health,0.0
OHQ860,0.0,clinical-health,0.0
RXDDRUG,0.0,clinical-health,0.0
RXDRSC2,0.0,clinical-health,0.0
RXDRSC3,0.0,clinical-health,0.0
RXDRSD2,0.0,clinical-health,0.0
RXDRSD3,0.0,clinical-health,0.0
DED120,0.19271036296531704,other,0.13179164959667494
WTDRD1PP,0.14478516896627386,other,0.09901634744278241
CBQ685,0.13458071922217105,other,0.09203768140579446
CDQ001,0.10349889480438755,other,0.07078130032974858
CBQ930,0.08263588905144406,other,0.056513411974309216
CBQ875,0.07634762075895454,other,0.052212962125004474
CBQ645,0.06393760386644312,other,0.04372594267976043
CBQ536,0.053086641709720245,other,0.036305136759722925
CBQ910,0.05056662122624342,other,0.03458173355802487
DBQ780,0.04839887641121015,other,0.03309924626112071
DIQ160,0.04187857918310143,other,0.02864011539586604
CBQ890,0.04156232990353979,other,0.0284238373836416
IMQ011,0.03452954663468454,other,0.02361422520712808
RXQ,0.032162095415986795,other,0.021995161776128327
CDQ010,0.03141208528426334,other,0.02148224139679282
DED125,0.028555518630875635,other,0.01952867945212161
KIQ005,0.028479837777779057,other,0.019476922482133046
KIQ042,0.023058592387643198,other,0.01576941624406446
DEQ034A,0.022656437200354516,other,0.01549438850444999
DBQ760,0.022102187426837717,other,0.015115345619488433
CBQ950,0.018631181973405263,other,0.012741578441491644
CBQ700,0.01738730821139316,other,0.011890912330634384
KIQ480,0.017323565704503198,other,0.011847319811772452
DIQ010,0.014054854808798072,other,0.009611898766578662
CBQ945,0.013648908656818162,other,0.009334278444590668
CBD925,0.013202116774461328,other,0.009028724356600038
IMQ020,0.0130534004368815,other,0.008927019543480314
DIQ180,0.01256531134917666,other,0.008593222932706798
CBQ905,0.01163197056648109,other,0.007954925544364277
DEQ034D,0.011588919773072935,other,0.007925483769711363
KIQ044,0.011266485545069125,other,0.007704975966492185
CBQ935,0.009575368082677338,other,0.006548446776256223
DEQ034C,0.008694182849387977,other,0.005945817764985372
DBQ770,0.008070855954848544,other,0.005519534100706719
CBQ845,0.007849009715100368,other,0.0053678168736549835
CBQ830,0.005439932723532742,other,0.0037202862176038934
DBQ750,0.00511890155246934,other,0.0035007379434199423
CBQ860,0.0036594586637951356,other,0.0025026474264863694
CBQ502,0.002527658479886795,other,0.0017286267098218192
CBQ506,0.0,other,0.0
CBQ551,0.0,other,0.0
CBQ785,0.0,other,0.0
KIQ022,0.0,other,0.0
KIQ026,0.0,other,0.0
KIQ046,0.0,other,0.0
PUQ100,0.0,other,0.0
PUQ110,0.0,other,0.0
DMDMARTZ,0.2303189981696319,socio-demographic,0.16751138781980618
INDFMMPI,0.1908676510166865,socio-demographic,0.13881835786800173
FSDHH,0.18597515625398103,socio-demographic,0.1352600383454484
OCD150,0.1630916291266832,socio-demographic,0.11861681126574992
RIDAGEYR,0.08827429052820226,socio-demographic,0.06420203731651011
SDMVSTRA,0.08091856052344708,socio-demographic,0.05885220273353391
HIQ210,0.0791265622382453,socio-demographic,0.057548879420605215
INDFMPIR,0.07625704741603728,socio-demographic,0.05546187655042276
WTINTPRP,0.05441396168616976,socio-demographic,0.03957536421772212
RIAGENDR,0.052588732684246395,socio-demographic,0.03824787214962986
WTMECPRP,0.038843871347870956,socio-demographic,0.028251211795318608
FSQ165,0.025214066145504074,socio-demographic,0.018338231957326548
FSDAD,0.019666097991451817,socio-demographic,0.014303185554506973
DMDEDUC2,0.016152914404020953,socio-demographic,0.011748041328137615
RIDRETH1,0.010358473446300526,socio-demographic,0.0075337348480755805
RIDEXMON,0.009789764376348006,socio-demographic,0.007120111802080503
INDFMMPC,0.00915326881190101,socio-demographic,0.006657187526666886
RIDRETH3,0.008896024006154088,socio-demographic,0.006470092954518885
SDMVPSU,0.008792395519559529,socio-demographic,0.006394723785040578
FSD162,0.00787291407546044,socio-demographic,0.005725983411907494
DMDBORN4,0.005471101829931907,socio-demographic,0.003979141398315677
OCQ670,0.005276507239281702,socio-demographic,0.003837612431095895
HIQ270,0.003953880143900439,socio-demographic,0.0028756635598515988
SIALANG,0.0036714466764312527,socio-demographic,0.0026702492324252583
AIALANGA,0.0,socio-demographic,0.0
FIAINTRP,0.0,socio-demographic,0.0
FIALANG,0.0,socio-demographic,0.0
FIAPROXY,0.0,socio-demographic,0.0
FSD151,0.0,socio-demographic,0.0
HIQ011,0.0,socio-demographic,0.0
MIAINTRP,0.0,socio-demographic,0.0
MIALANG,0.0,socio-demographic,0.0
MIAPROXY,0.0,socio-demographic,0.0
RIDSTATR,0.0,socio-demographic,0.0
SDDSRVYR,0.0,socio-demographic,0.0
SIAINTRP,0.0,socio-demographic,0.0
SIAPROXY,0.0,socio-demographic,0.0
